B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,GEO_ID,NAME
751,10,5,0,0,0,0,0,0,0,0,0,0,16,0,0,82,9,30,88,41,313,157,0,0,1500000US060014015002,"Block Group 2, Census Tract 4015, Alameda County, California"
635,0,0,0,0,0,0,0,0,0,0,0,14,0,0,20,56,64,89,132,63,172,25,0,0,1500000US060014015003,"Block Group 3, Census Tract 4015, Alameda County, California"
1010,64,0,0,0,0,0,0,0,49,0,0,0,0,2,60,174,0,6,200,103,236,100,16,0,1500000US060014016001,"Block Group 1, Census Tract 4016, Alameda County, California"
642,0,0,0,0,0,0,4,0,18,0,0,0,17,16,41,140,0,103,47,41,127,51,37,0,1500000US060014016002,"Block Group 2, Census Tract 4016, Alameda County, California"
997,11,0,0,0,0,0,0,0,27,0,24,0,0,0,22,165,0,0,141,19,381,148,59,0,1500000US060014017001,"Block Group 1, Census Tract 4017, Alameda County, California"
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,134,47,158,115,0,0,1500000US060014017002,"Block Group 2, Census Tract 4017, Alameda County, California"
966,0,0,0,0,0,18,0,0,0,0,0,0,0,18,21,89,8,109,126,79,432,30,9,27,1500000US060014017003,"Block Group 3, Census Tract 4017, Alameda County, California"
732,0,0,0,0,0,0,0,0,0,0,7,17,0,1,1,129,0,32,101,96,253,89,6,0,1500000US060014018001,"Block Group 1, Census Tract 4018, Alameda County, California"
577,6,0,0,0,0,0,0,0,0,0,0,1,0,18,1,57,0,27,148,20,184,92,15,8,1500000US060014018002,"Block Group 2, Census Tract 4018, Alameda County, California"
943,7,0,0,0,0,0,0,8,21,11,0,5,13,0,0,70,33,62,86,87,413,69,22,36,1500000US060014022001,"Block Group 1, Census Tract 4022, Alameda County, California"
547,14,0,0,0,0,0,0,0,8,0,16,8,0,13,0,152,0,31,47,31,135,65,0,27,1500000US060014022002,"Block Group 2, Census Tract 4022, Alameda County, California"
329,0,0,0,0,0,0,16,0,0,15,0,0,0,0,15,43,5,0,38,21,119,48,0,9,1500000US060014022003,"Block Group 3, Census Tract 4022, Alameda County, California"
963,0,0,0,0,0,0,0,0,7,0,0,0,52,18,21,102,0,74,262,38,205,142,42,0,1500000US060014024001,"Block Group 1, Census Tract 4024, Alameda County, California"
960,17,0,0,0,8,0,0,0,40,0,0,17,27,0,0,110,19,27,236,124,199,101,23,12,1500000US060014024002,"Block Group 2, Census Tract 4024, Alameda County, California"
969,27,0,0,0,0,0,0,0,0,0,0,8,0,29,12,210,14,92,240,94,198,45,0,0,1500000US060014025001,"Block Group 1, Census Tract 4025, Alameda County, California"
343,0,0,0,0,0,0,0,13,2,14,0,2,22,38,0,94,36,44,40,0,38,0,0,0,1500000US060014025002,"Block Group 2, Census Tract 4025, Alameda County, California"
967,52,0,4,0,0,28,0,12,40,5,23,14,15,11,49,134,13,30,103,108,213,83,13,17,1500000US060014026001,"Block Group 1, Census Tract 4026, Alameda County, California"
696,31,0,0,0,0,0,0,0,0,0,0,5,8,8,22,78,9,21,135,61,247,50,21,0,1500000US060014027001,"Block Group 1, Census Tract 4027, Alameda County, California"
800,5,0,0,0,0,0,0,4,12,0,4,11,0,42,31,39,19,20,93,43,277,156,27,17,1500000US060014027002,"Block Group 2, Census Tract 4027, Alameda County, California"
532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,49,41,159,225,17,15,1500000US060014028011,"Block Group 1, Census Tract 4028.01, Alameda County, California"
700,15,0,0,0,0,0,0,0,117,0,0,173,25,0,0,113,24,79,37,17,100,0,0,0,1500000US060014028012,"Block Group 2, Census Tract 4028.01, Alameda County, California"
1410,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,13,24,0,78,92,717,377,52,0,1500000US060014028013,"Block Group 3, Census Tract 4028.01, Alameda County, California"
511,14,0,0,0,0,0,0,0,0,0,0,71,10,81,34,148,0,22,110,0,8,6,7,0,1500000US060014028021,"Block Group 1, Census Tract 4028.02, Alameda County, California"
760,0,0,0,0,0,0,0,0,17,0,0,45,0,0,0,170,0,78,113,16,170,69,67,15,1500000US060014028022,"Block Group 2, Census Tract 4028.02, Alameda County, California"
651,15,0,0,0,2,0,0,9,33,9,16,68,9,0,26,100,13,11,68,23,171,57,21,0,1500000US060014029001,"Block Group 1, Census Tract 4029, Alameda County, California"
650,28,0,0,0,0,0,0,0,19,0,0,9,0,0,13,57,16,11,55,63,163,166,8,42,1500000US060014029002,"Block Group 2, Census Tract 4029, Alameda County, California"
1066,30,0,0,0,0,0,0,17,10,18,21,40,0,0,65,202,13,16,59,54,332,87,82,20,1500000US060014030001,"Block Group 1, Census Tract 4030, Alameda County, California"
801,73,0,0,0,0,9,0,0,63,12,49,55,56,70,29,154,0,25,83,50,73,0,0,0,1500000US060014030002,"Block Group 2, Census Tract 4030, Alameda County, California"
677,86,0,0,0,0,0,15,27,78,0,0,0,0,0,0,91,31,21,70,0,112,122,16,8,1500000US060014030003,"Block Group 3, Census Tract 4030, Alameda County, California"
741,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,39,11,0,7,18,339,207,62,43,1500000US060014031001,"Block Group 1, Census Tract 4031, Alameda County, California"
944,34,0,0,0,0,0,17,5,27,10,0,18,34,52,32,179,14,20,141,26,142,115,29,49,1500000US060014031002,"Block Group 2, Census Tract 4031, Alameda County, California"
638,42,0,0,0,0,0,0,0,10,39,33,57,15,0,27,233,0,0,61,42,79,0,0,0,1500000US060014033011,"Block Group 1, Census Tract 4033.01, Alameda County, California"
555,28,0,0,0,0,24,0,0,0,0,103,44,0,0,0,182,0,0,110,16,19,19,0,10,1500000US060014033012,"Block Group 2, Census Tract 4033.01, Alameda County, California"
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,245,83,14,28,1500000US060014033021,"Block Group 1, Census Tract 4033.02, Alameda County, California"
1042,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,23,0,36,49,83,584,135,39,55,1500000US060014033022,"Block Group 2, Census Tract 4033.02, Alameda County, California"
660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,486,161,0,0,1500000US060014033023,"Block Group 3, Census Tract 4033.02, Alameda County, California"
844,0,0,0,0,0,0,0,0,0,0,0,0,5,26,28,135,28,4,91,0,157,261,72,37,1500000US060014034011,"Block Group 1, Census Tract 4034.01, Alameda County, California"
719,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,129,58,28,328,122,25,0,1500000US060014034012,"Block Group 2, Census Tract 4034.01, Alameda County, California"
979,31,0,0,0,0,33,0,0,33,0,33,14,0,0,0,46,18,0,71,136,329,143,80,12,1500000US060014034013,"Block Group 3, Census Tract 4034.01, Alameda County, California"
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,44,10,0,1,1500000US060014034021,"Block Group 1, Census Tract 4034.02, Alameda County, California"
1184,0,0,0,0,0,0,0,0,0,0,21,25,0,0,0,108,0,85,94,181,446,154,51,19,1500000US060014034022,"Block Group 2, Census Tract 4034.02, Alameda County, California"
1194,52,0,0,0,0,0,0,0,0,0,0,0,0,0,54,140,0,31,207,132,341,153,71,13,1500000US060014035011,"Block Group 1, Census Tract 4035.01, Alameda County, California"
1427,0,0,0,0,0,0,0,0,0,0,9,0,2,3,27,27,17,15,249,101,601,203,107,66,1500000US060014035012,"Block Group 2, Census Tract 4035.01, Alameda County, California"
537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0,0,125,113,185,41,23,0,1500000US060014035013,"Block Group 3, Census Tract 4035.01, Alameda County, California"
785,0,0,0,0,0,0,0,0,23,0,25,0,0,0,0,0,0,7,11,0,380,69,251,19,1500000US060014035014,"Block Group 4, Census Tract 4035.01, Alameda County, California"
670,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,24,0,45,71,17,290,166,14,23,1500000US060014035021,"Block Group 1, Census Tract 4035.02, Alameda County, California"
976,8,0,0,0,0,0,0,0,18,0,0,0,0,19,13,121,13,55,35,30,451,134,57,22,1500000US060014035022,"Block Group 2, Census Tract 4035.02, Alameda County, California"
699,4,0,0,0,0,0,0,0,0,0,0,0,25,0,5,91,0,53,41,24,176,205,38,37,1500000US060014036001,"Block Group 1, Census Tract 4036, Alameda County, California"
1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,12,0,103,53,360,265,116,36,1500000US060014036002,"Block Group 2, Census Tract 4036, Alameda County, California"
2748,58,0,0,0,0,0,0,0,12,2,2,41,7,51,84,355,10,139,354,84,1059,340,80,70,1500000US060014036003,"Block Group 3, Census Tract 4036, Alameda County, California"
1290,7,0,0,0,0,0,0,0,21,0,0,0,0,8,11,146,12,9,274,38,359,362,26,17,1500000US060014037011,"Block Group 1, Census Tract 4037.01, Alameda County, California"
1225,0,0,0,0,0,0,0,0,0,0,23,0,0,0,8,99,0,39,127,21,564,221,54,69,1500000US060014037012,"Block Group 2, Census Tract 4037.01, Alameda County, California"
468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,47,0,0,43,85,131,91,50,10,1500000US060014037021,"Block Group 1, Census Tract 4037.02, Alameda County, California"
1240,0,0,0,0,0,0,0,0,51,0,0,0,0,0,10,49,20,9,160,72,465,344,51,9,1500000US060014037022,"Block Group 2, Census Tract 4037.02, Alameda County, California"
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,117,134,77,44,1500000US060014038001,"Block Group 1, Census Tract 4038, Alameda County, California"
776,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,46,0,12,13,17,334,250,90,8,1500000US060014038002,"Block Group 2, Census Tract 4038, Alameda County, California"
588,0,0,0,0,0,0,0,0,0,0,0,9,0,2,38,52,0,29,68,16,195,100,0,79,1500000US060014038003,"Block Group 3, Census Tract 4038, Alameda County, California"
1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,40,29,16,130,81,509,223,80,75,1500000US060014038004,"Block Group 4, Census Tract 4038, Alameda County, California"
1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,43,44,41,89,53,634,204,24,59,1500000US060014039001,"Block Group 1, Census Tract 4039, Alameda County, California"
1131,0,0,0,0,0,0,0,0,0,0,2,0,4,2,17,49,0,1,41,164,455,137,203,56,1500000US060014039002,"Block Group 2, Census Tract 4039, Alameda County, California"
1129,0,0,0,0,0,0,0,0,123,0,0,0,0,0,17,10,0,16,75,135,499,202,38,14,1500000US060014039003,"Block Group 3, Census Tract 4039, Alameda County, California"
701,5,0,0,0,8,0,0,0,0,0,0,0,26,6,0,29,0,0,108,58,274,116,59,12,1500000US060014040001,"Block Group 1, Census Tract 4040, Alameda County, California"
1109,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,134,25,3,43,80,483,191,56,73,1500000US060014040002,"Block Group 2, Census Tract 4040, Alameda County, California"
660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,36,84,47,298,114,16,42,1500000US060014040003,"Block Group 3, Census Tract 4040, Alameda County, California"
1016,1,0,0,0,0,0,0,0,0,0,0,19,0,11,0,37,9,23,117,47,378,282,49,43,1500000US060014041011,"Block Group 1, Census Tract 4041.01, Alameda County, California"
855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,19,41,0,338,332,64,44,1500000US060014041012,"Block Group 2, Census Tract 4041.01, Alameda County, California"
713,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,15,19,76,10,359,118,37,46,1500000US060014041013,"Block Group 3, Census Tract 4041.01, Alameda County, California"
1365,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,62,13,48,127,37,608,284,91,75,1500000US060014041021,"Block Group 1, Census Tract 4041.02, Alameda County, California"
919,0,0,0,0,0,0,0,12,8,0,11,0,25,19,44,126,9,6,117,79,245,110,86,22,1500000US060014041022,"Block Group 2, Census Tract 4041.02, Alameda County, California"
826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,0,19,24,7,344,277,69,37,1500000US060014042001,"Block Group 1, Census Tract 4042, Alameda County, California"
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,0,53,48,83,360,257,113,56,1500000US060014042002,"Block Group 2, Census Tract 4042, Alameda County, California"
743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,17,53,38,292,196,48,55,1500000US060014042003,"Block Group 3, Census Tract 4042, Alameda County, California"
884,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,55,11,8,78,12,248,265,121,74,1500000US060014043001,"Block Group 1, Census Tract 4043, Alameda County, California"
783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,40,17,292,153,135,86,1500000US060014043002,"Block Group 2, Census Tract 4043, Alameda County, California"
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,0,0,25,31,331,377,195,31,1500000US060014043003,"Block Group 3, Census Tract 4043, Alameda County, California"
1350,0,0,0,0,0,18,0,0,0,0,17,0,0,0,0,74,0,0,38,31,524,372,172,104,1500000US060014044001,"Block Group 1, Census Tract 4044, Alameda County, California"
978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,68,0,34,136,26,421,213,71,0,1500000US060014044002,"Block Group 2, Census Tract 4044, Alameda County, California"
1466,0,0,0,0,0,0,0,0,0,0,18,0,8,52,0,10,26,13,78,77,793,157,224,10,1500000US060014044003,"Block Group 3, Census Tract 4044, Alameda County, California"
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,47,0,0,170,135,45,44,1500000US060014044004,"Block Group 4, Census Tract 4044, Alameda County, California"
1258,0,0,0,0,0,0,0,0,14,0,0,0,0,10,4,88,0,28,34,57,464,248,214,97,1500000US060014045011,"Block Group 1, Census Tract 4045.01, Alameda County, California"
650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,19,3,5,283,164,75,61,1500000US060014045021,"Block Group 1, Census Tract 4045.02, Alameda County, California"
1268,38,0,0,0,0,0,0,0,0,0,0,0,0,16,0,109,13,56,106,85,518,195,119,13,1500000US060014045022,"Block Group 2, Census Tract 4045.02, Alameda County, California"
1199,0,0,0,0,0,0,0,18,0,0,0,0,7,0,40,30,0,69,70,35,491,208,87,144,1500000US060014045023,"Block Group 3, Census Tract 4045.02, Alameda County, California"
1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,13,179,51,699,186,82,60,1500000US060014045024,"Block Group 4, Census Tract 4045.02, Alameda County, California"
833,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,54,19,279,231,113,100,1500000US060014046001,"Block Group 1, Census Tract 4046, Alameda County, California"
